nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Sn123,2.092267098967297,0.006858241636634032,1.5404533754124863e-07,6.6351903864812125e-09,1.7444888471464053e-06,0.0,0.0
Sn124,0.2545489393782534,0.0008518228497674802,1.0248894847548382e-07,1.4360475338308033e-09,2.440953197399261e-06,0.0,0.0
Sn125,0.3069496321250905,0.0018881243990860911,4.777558753216901e-08,3.3428209364926044e-09,1.1548540157634315e-06,0.0,0.0
Sn126,0.013428347800150568,0.0011217006315708143,8.214173539747078e-09,2.4191569683163806e-10,4.02960472599485e-06,0.0,0.0
Sb121,5.129531200890224,0.00029842421370560946,2.0605706143932434e-05,2.2083190760678082e-07,5.984301389347494e-08,0.0,0.0
Sb123,2.8204735540692476,0.0004147551961602802,7.64331380648668e-06,8.057769143164704e-08,3.090966501640612e-07,0.0,0.0
Sb124,5.436111772705569,0.00343519468752721,1.444070542335732e-06,1.9410115916390296e-07,9.757590910176125e-07,0.0,0.0
Sb125,2.0199043866110333,0.0006265518543048633,3.603865169441318e-07,1.0331894752261044e-07,1.4189145735057957e-06,0.0,0.0
Sb126,5.895831688481569,0.0014860359757163798,2.8092685720424934e-06,6.782901054917234e-08,5.329420588235752e-07,0.0,0.0
Te120,0.9171897740764722,0.00012798507544353185,6.641061446486505e-05,0.00023362655643877571,4.5939584617688016e-08,0.0,0.0
Te122,2.681956386354048,0.0002104785247540013,4.619424301049785e-06,1.75847601525407e-05,1.757773640801424e-07,0.0,0.0
Te123,181.71830211343345,0.002001252611005824,5.541317728176467e-06,5.6562111564217843e-05,2.067928818075378e-07,0.0,0.0
Te124,0.6520228083946374,0.00031819575197286555,1.7052152287034185e-06,1.8601184380891817e-06,4.754933920368992e-07,0.0,0.0
Te125,0.8329145707356624,0.003077274386508522,1.4553294480577384e-06,2.1054830142106838e-06,4.359172375150871e-07,0.0,0.0
Te126,0.2769762078651547,0.00042553386453591304,5.772971074445491e-07,5.040411484817548e-07,1.010464263937796e-06,0.0,0.0
Te127_m1,286.81795465033593,0.0034581411125425058,4.843691135804465e-07,3.4218509564451136e-07,9.659229334495649e-07,0.0,0.0
Te128,0.06494762293291814,0.0005570693629871686,2.1838909170229632e-07,8.42335698823563e-08,1.8770856353198647e-06,0.0,0.0
Te129_m1,139.00653658407725,0.00490612482150722,1.9950402194345905e-07,1.0090653970294084e-07,1.5943620770371605e-06,0.0,0.0
Te130,0.024098803454234617,0.0006997137847955526,1.6340320217098369e-06,1.154993188288964e-07,2.1804518055439263e-07,0.0,0.0
Te132,0.016868950849448762,0.00090393039812884,1.1942872102126362e-07,3.371392354285068e-08,7.201387449344418e-07,0.0,0.0
I127,4.838290726048058,0.0004047498603467425,1.6439657603166145e-05,7.278860647874119e-07,1.6379138213850923e-07,0.0,0.0
I129,3.13069478984867,0.0005928669586135173,7.712622991996643e-07,2.742114147734722e-07,7.260688119821881e-07,0.0,0.0
I130,3.847378351740511,0.0017816087240931416,5.8140469767668315e-06,5.460574185093852e-07,2.8129420994835696e-07,0.0,0.0
I131,8.140605897676366,0.000767290970900632,2.592672226664761e-07,1.1873868481393219e-07,1.2576146849294278e-06,0.0,0.0
I135,6.856787524444307,0.0009309324339341723,7.264672891151028e-08,2.927097797408891e-07,1.177302403584998e-06,0.0,0.0
Xe123,43.39942158486921,0.0005289048987567744,0.13634171755233232,0.40618287561065436,1.3286776998427547e-10,0.0,0.0
Xe124,90.67814338320832,8.46332129585114e-05,0.00047538030419112093,5.123800501035572e-05,6.477038711456857e-10,0.0,0.0
Xe126,2.239181819597892,0.0001578200879336113,2.035513183196456e-05,2.2040680868053607e-05,6.710536920319954e-08,0.0,0.0
Xe128,0.7836673479454549,0.000246093641824377,9.578510974746282e-06,3.4925201428016193e-06,2.742068037905818e-07,0.0,0.0
Xe129,8.647194097034756,0.0016657934566264496,3.2082986456268763e-06,3.5494941192396875e-06,2.636749119836735e-07,0.0,0.0
Xe130,0.5290734930685119,0.0005821362749498297,2.945003578034364e-06,2.2823198864913816e-07,9.349810343670301e-07,0.0,0.0
Xe131,30.854125991957332,0.00212927315946795,5.265830635785532e-06,1.4192221406131735e-06,3.075970483782513e-07,0.0,0.0
Xe132,0.2103453842630166,0.0003867571038281698,9.309435023865311e-07,1.2569025736573015e-07,1.8926470783271268e-07,0.0,0.0
Xe133,16.54527550532362,0.003839410416771621,4.0574354633187966e-07,1.8656646940032652e-07,7.535440202590983e-07,0.0,0.0
Xe134,0.03760206147538597,0.000527600434964446,7.540081264780931e-07,1.061424332830567e-07,2.8556118555827426e-07,0.0,0.0
Xe135,228368.88985614481,0.003708948121063187,1.4309817152767743e-07,1.5415284383590656e-07,1.137692164497657e-06,0.0,0.0
Xe136,0.023216316492496687,0.000952696995203684,2.9777725582128866e-07,7.803993297649497e-08,5.117771645254626e-07,0.0,0.0
Cs133,11.759605029275454,0.0003265489868996474,7.180420179288825e-06,9.092248276849972e-07,3.516964334730499e-07,0.0,0.0
